ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_4505952-S	4.41e-01	3.83e-01	0.873056	-652.743	0.0499472	PON2	paraoxonase 2
GI_29542730-A	4.41e-01	3.84e-01	0.871979	-652.836	0.0897989	ARL5A	ADP ribosylation factor like GTPase 5A
GI_22129777-S	4.42e-01	3.84e-01	-0.871693	-652.861	-0.0314491	SRXN1	sulfiredoxin 1
GI_39725670-S	4.42e-01	3.84e-01	0.871367	-652.889	0.0506812	AP3S2	adaptor related protein complex 3 sigma 2 subunit
GI_38327538-S	4.42e-01	3.84e-01	-0.870729	-652.944	-0.0301615	INPP5E	inositol polyphosphate-5-phosphatase E
GI_22779869-S	4.42e-01	3.85e-01	-0.870522	-652.962	-0.0693296	PDIK1L	PDLIM1 interacting kinase 1 like
GI_20127489-S	4.42e-01	3.85e-01	-0.870491	-652.965	-0.0572219	SMAD2	SMAD family member 2
GI_34147465-S	4.42e-01	3.85e-01	-0.870185	-652.991	-0.0349756	FAM96A	family with sequence similarity 96 member A
GI_34147580-S	4.43e-01	3.85e-01	0.869639	-653.038	0.03611	TEX264	testis expressed 264
GI_37594446-A	4.43e-01	3.85e-01	0.869485	-653.051	0.0291326	ZDHHC16	zinc finger DHHC-type containing 16
GI_19920316-S	4.43e-01	3.85e-01	0.868998	-653.093	0.0258378	CKAP4	cytoskeleton associated protein 4
GI_34222222-S	4.44e-01	3.86e-01	0.867351	-653.235	0.0484517	TPM1	tropomyosin 1 (alpha)
GI_6912299-A	4.45e-01	3.88e-01	-0.86509	-653.429	-0.0421252	MTO1	mitochondrial tRNA translation optimization 1
GI_21389468-S	4.46e-01	3.88e-01	0.863847	-653.536	0.0250148	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4
GI_4508034-S	4.46e-01	3.88e-01	-0.863453	-653.569	-0.0328246	ZNF7	zinc finger protein 7
GI_6005909-S	4.46e-01	3.89e-01	-0.86316	-653.594	-0.0574564		
GI_4557324-S	4.46e-01	3.89e-01	0.862818	-653.624	0.0584247	APOE	apolipoprotein E
GI_38348207-S	4.47e-01	3.89e-01	0.861972	-653.696	0.0412773	C1orf122	chromosome 1 open reading frame 122
GI_40254815-S	4.48e-01	3.90e-01	0.86036	-653.833	0.0675579	HSP90AA1	heat shock protein 90 alpha family class A member 1
GI_22208996-S	4.48e-01	3.91e-01	0.859103	-653.941	0.033534	BBS2	Bardet-Biedl syndrome 2
GI_28875796-S	4.48e-01	3.91e-01	0.859002	-653.949	0.0260829	CHTOP	chromatin target of PRMT1
GI_5802975-S	4.49e-01	3.91e-01	-0.85825	-654.013	-0.1036147	ADIRF	adipogenesis regulatory factor
GI_31341776-S	4.49e-01	3.91e-01	-0.85821	-654.017	-0.0580561		
GI_7661855-S	4.49e-01	3.92e-01	-0.857583	-65.407	-0.0656554	UBE3C	ubiquitin protein ligase E3C
GI_34222319-S	4.49e-01	3.92e-01	-0.857514	-654.076	-0.0186684	JOSD1	Josephin domain containing 1
GI_15890084-A	4.50e-01	3.92e-01	0.856931	-654.125	0.0805746	COL4A5	collagen type IV alpha 5 chain
GI_41117409-S	4.51e-01	3.93e-01	-0.854765	-654.309	-0.0613531	S100A13	S100 calcium binding protein A13
GI_7661921-S	4.51e-01	3.94e-01	0.854016	-654.372	0.0389173	RAB21	RAB21, member RAS oncogene family
GI_13787192-S	4.52e-01	3.94e-01	-0.853352	-654.428	-0.0792051	ALPL	alkaline phosphatase, liver/bone/kidney
GI_37550155-S	4.52e-01	3.95e-01	0.852449	-654.505	0.1191906		
GI_38455392-S	4.52e-01	3.95e-01	-0.852413	-654.508	-0.0397221	NTHL1	nth like DNA glycosylase 1
GI_34328912-S	4.53e-01	3.95e-01	0.850822	-654.642	0.0836161	WNT7A	Wnt family member 7A
GI_42476122-S	4.54e-01	3.96e-01	-0.849852	-654.724	-0.046017	RUSC1	RUN and SH3 domain containing 1
GI_34304334-I	4.54e-01	3.96e-01	0.849707	-654.736	0.0646848	RNF8	ring finger protein 8
GI_24430164-A	4.54e-01	3.97e-01	0.848522	-654.836	0.0627918	PMP22	peripheral myelin protein 22
GI_31543300-S	4.56e-01	3.98e-01	0.846334	-655.019	0.0309151	NUDC	nuclear distribution C, dynein complex regulator
GI_10835100-S	4.56e-01	3.98e-01	-0.846216	-655.029	-0.0419502	KAT2A	lysine acetyltransferase 2A
GI_14277701-A	4.57e-01	3.99e-01	0.844232	-655.196	0.0531446	NECAB3	N-terminal EF-hand calcium binding protein 3
GI_14591915-S	4.57e-01	3.99e-01	0.844113	-655.205	0.0425245	RPS20	ribosomal protein S20
GI_40255108-S	4.57e-01	3.99e-01	-0.8438	-655.232	-0.0453245	GRPEL2	GrpE like 2, mitochondrial
GI_41327748-S	4.57e-01	3.99e-01	-0.843659	-655.243	-0.0278435	ANAPC4	anaphase promoting complex subunit 4
GI_13489098-S	4.57e-01	4.00e-01	-0.842891	-655.308	-0.0496906	KCTD17	potassium channel tetramerization domain containing 17
GI_21314689-S	4.59e-01	4.01e-01	-0.840136	-655.537	-0.036294	NGLY1	N-glycanase 1
GI_21361903-S	4.59e-01	4.01e-01	0.840017	-655.547	0.0607627	ELOVL5	ELOVL fatty acid elongase 5
GI_8923535-S	4.59e-01	4.02e-01	-0.839746	-65.557	-0.0294956	HCFC1R1	host cell factor C1 regulator 1
GI_11345461-S	4.59e-01	4.02e-01	-0.839733	-655.571	-0.0573586	SPCS3	signal peptidase complex subunit 3
GI_41327692-S	4.61e-01	4.03e-01	-0.837418	-655.763	-0.0279132	C20orf24	chromosome 20 open reading frame 24
GI_38683837-S	4.61e-01	4.03e-01	-0.836713	-655.822	-0.0477783	CD47	CD47 molecule
GI_4503252-S	4.63e-01	4.05e-01	0.834114	-656.037	0.0455854	DAD1	defender against cell death 1
GI_32171240-S	4.63e-01	4.05e-01	-0.833881	-656.056	-0.0632204	PDE4B	phosphodiesterase 4B
GI_33598949-S	4.63e-01	4.05e-01	0.833567	-656.082	0.0702451	PODXL	podocalyxin like
GI_4507658-S	4.63e-01	4.05e-01	0.83348	-656.089	0.0257181	TPR	translocated promoter region, nuclear basket protein
GI_42659463-S	4.63e-01	4.05e-01	0.833255	-656.108	0.0406813	USP6NL	USP6 N-terminal like
GI_20070288-S	4.63e-01	4.05e-01	0.833156	-656.116	0.0533933	PLEKHA3	pleckstrin homology domain containing A3
GI_21314666-S	4.63e-01	4.06e-01	-0.832342	-656.183	-0.0252108	CPSF3	cleavage and polyadenylation specific factor 3
GI_41349457-S	4.64e-01	4.06e-01	-0.831989	-656.212	-0.0552262	PRDM10	PR/SET domain 10
GI_7661827-S	4.64e-01	4.07e-01	-0.830958	-656.297	-0.0252315	COMMD9	COMM domain containing 9
GI_22050438-S	4.64e-01	4.07e-01	-0.830886	-656.303	-0.0669946		
GI_21237756-S	4.64e-01	4.07e-01	-0.83057	-656.329	-0.0792873	CD53	CD53 molecule
GI_24430145-S	4.64e-01	4.07e-01	-0.830456	-656.339	-0.0562927	NUP153	nucleoporin 153
GI_40217625-S	4.65e-01	4.08e-01	0.8292	-656.442	0.0380559	FAM173B	family with sequence similarity 173 member B
GI_37545266-S	4.65e-01	4.08e-01	-0.82882	-656.473	-0.0526237	ATP9B	ATPase phospholipid transporting 9B (putative)
GI_41327763-S	4.65e-01	4.08e-01	-0.828782	-656.476	-0.0374432	AKR7A2	aldo-keto reductase family 7 member A2
GI_29171760-S	4.65e-01	4.08e-01	-0.828336	-656.513	-0.0419507	PPA1	pyrophosphatase (inorganic) 1
GI_8923213-S	4.66e-01	4.09e-01	-0.827435	-656.587	-0.0556754	STAP2	signal transducing adaptor family member 2
GI_33186853-S	4.66e-01	4.09e-01	-0.827276	-6.566	-0.0669165		
GI_25121967-S	4.69e-01	4.11e-01	-0.822622	-65.698	-0.0608079	KCNJ6	potassium voltage-gated channel subfamily J member 6
GI_14042922-S	4.69e-01	4.11e-01	-0.822375	-6.57	-0.0359739	TMEM245	transmembrane protein 245
GI_7705637-S	4.70e-01	4.12e-01	0.821339	-657.085	0.0368757	BOLA1	bolA family member 1
GI_4503126-S	4.70e-01	4.12e-01	-0.821135	-657.101	-0.1197935	CTNNA1	catenin alpha 1
GI_15451941-S	4.70e-01	4.13e-01	-0.820057	-657.189	-0.0717161	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
GI_28872735-A	4.70e-01	4.13e-01	0.819901	-657.202	0.0412714	MRPL43	mitochondrial ribosomal protein L43
GI_9994168-S	4.72e-01	4.14e-01	-0.817819	-657.371	-0.0514727	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein
GI_40806171-I	4.72e-01	4.14e-01	0.817589	-657.389	0.027372	SPG7	SPG7, paraplegin matrix AAA peptidase subunit
GI_7662219-S	4.72e-01	4.14e-01	0.81713	-657.427	0.0620546	TRIL	TLR4 interactor with leucine rich repeats
GI_21359835-S	4.72e-01	4.15e-01	0.816289	-657.495	0.0362293	PEA15	phosphoprotein enriched in astrocytes 15
GI_4757849-S	4.73e-01	4.15e-01	0.815992	-657.519	0.0622187	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
GI_34222306-S	4.74e-01	4.16e-01	0.813602	-657.712	0.0181991	PARK7	Parkinsonism associated deglycase
GI_5921996-S	4.74e-01	4.17e-01	0.813193	-657.745	0.0383299	CALR	calreticulin
GI_15208653-S	4.75e-01	4.18e-01	0.811447	-657.885	0.0371849	DGCR6	DiGeorge syndrome critical region gene 6
GI_14589875-A	4.75e-01	4.18e-01	0.811381	-65.789	0.0577593	EFS	embryonal Fyn-associated substrate
GI_18105052-S	4.75e-01	4.18e-01	0.811289	-657.898	0.0244129	RAE1	ribonucleic acid export 1
GI_30260187-S	4.75e-01	4.18e-01	-0.811011	-65.792	-0.0302877	GOLGA5	golgin A5
GI_9966848-S	4.76e-01	4.18e-01	0.810559	-657.956	0.041802	TIGAR	TP53 induced glycolysis regulatory phosphatase
GI_44890063-S	4.76e-01	4.19e-01	-0.809532	-658.039	-0.0784773	INSM1	INSM transcriptional repressor 1
GI_8922717-S	4.77e-01	4.20e-01	0.808199	-658.146	0.0264772	CCDC25	coiled-coil domain containing 25
GI_26051259-I	4.77e-01	4.20e-01	-0.807981	-658.163	-0.0421705	KCNQ2	potassium voltage-gated channel subfamily Q member 2
GI_31543145-S	4.77e-01	4.20e-01	-0.807754	-658.181	-0.027844	CRELD2	cysteine rich with EGF like domains 2
GI_42655845-S	4.77e-01	4.20e-01	-0.807535	-658.199	-0.0608362	PLCH2	phospholipase C eta 2
GI_12669916-S	4.78e-01	4.20e-01	-0.80662	-658.272	-0.0407527	E2F5	E2F transcription factor 5
GI_9910595-S	4.79e-01	4.22e-01	-0.804203	-658.465	-0.0471177	TUFT1	tuftelin 1
GI_9910241-S	4.81e-01	4.23e-01	-0.801651	-658.668	-0.0419588	CCDC47	coiled-coil domain containing 47
GI_38146106-A	4.81e-01	4.24e-01	-0.80112	-65.871	-0.0350714	RSRC2	arginine and serine rich coiled-coil 2
GI_7669488-S	4.82e-01	4.24e-01	0.800205	-658.783	0.083498	TYMP	thymidine phosphorylase
GI_24497486-A	4.82e-01	4.24e-01	-0.799908	-658.807	-0.0886671	SLC22A12	solute carrier family 22 member 12
GI_14149802-S	4.82e-01	4.24e-01	-0.799875	-658.809	-0.0306107	ANKRD27	ankyrin repeat domain 27
GI_21389406-S	4.82e-01	4.25e-01	0.798918	-658.885	0.0248235	HEXIM2	hexamethylene bisacetamide inducible 2
GI_20357528-S	4.83e-01	4.25e-01	0.79847	-65.892	0.0319008	GNB2	G protein subunit beta 2
GI_27480863-S	4.83e-01	4.25e-01	-0.798126	-658.948	-0.0435178	RUSC2	RUN and SH3 domain containing 2
GI_21361069-S	4.83e-01	4.26e-01	-0.797265	-659.016	-0.0385857	PFKL	phosphofructokinase, liver type
GI_23308578-S	4.84e-01	4.26e-01	-0.796742	-659.057	-0.0444122	PTGES3	prostaglandin E synthase 3
GI_41281436-S	4.84e-01	4.27e-01	0.796058	-659.111	0.0233903	NUP93	nucleoporin 93
GI_7705766-S	4.84e-01	4.27e-01	-0.795676	-659.141	-0.0313578	SCCPDH	saccharopine dehydrogenase (putative)
GI_32699063-S	4.84e-01	4.27e-01	0.795313	-65.917	0.0461249	WDR53	WD repeat domain 53
GI_14150046-S	4.84e-01	4.27e-01	-0.795182	-65.918	-0.0345023	SLC37A3	solute carrier family 37 member 3
GI_20127535-S	4.85e-01	4.27e-01	-0.794805	-65.921	-0.025737	RGL1	ral guanine nucleotide dissociation stimulator like 1
GI_21237764-A	4.85e-01	4.28e-01	-0.79331	-659.327	-0.05583	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5
GI_19924176-S	4.85e-01	4.28e-01	0.7933	-659.328	0.0301077	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
GI_42659002-S	4.86e-01	4.29e-01	0.791678	-659.456	0.0435879		
GI_37622891-A	4.87e-01	4.29e-01	-0.791203	-659.493	-0.0299296		
GI_4504106-S	4.88e-01	4.30e-01	-0.789503	-659.626	-0.034994	GPX4	glutathione peroxidase 4
GI_34147359-S	4.88e-01	4.30e-01	-0.789283	-659.643	-0.0610829	C9orf16	chromosome 9 open reading frame 16
GI_28416900-I	4.88e-01	4.31e-01	0.788396	-659.713	0.0202859	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GI_29742698-S	4.90e-01	4.32e-01	0.786372	-659.871	0.0264678	SLC25A42	solute carrier family 25 member 42
GI_6631099-S	4.90e-01	4.32e-01	0.786065	-659.895	0.0513514	NKTR	natural killer cell triggering receptor
GI_40254847-S	4.90e-01	4.32e-01	-0.785966	-659.902	-0.0271569	MTCH2	mitochondrial carrier 2
GI_40353201-S	4.90e-01	4.32e-01	-0.785954	-659.903	-0.0370833	OTUD5	OTU deubiquitinase 5
GI_38202243-S	4.92e-01	4.34e-01	0.783138	-660.122	0.0661973	SLC25A27	solute carrier family 25 member 27
GI_37540497-S	4.92e-01	4.34e-01	-0.782679	-660.158	-0.0625191		
GI_8923000-S	4.92e-01	4.35e-01	-0.781674	-660.236	-0.030932	ABHD10	abhydrolase domain containing 10
GI_42661295-S	4.92e-01	4.35e-01	0.781536	-660.246	0.0585108		
GI_4758559-S	4.92e-01	4.35e-01	0.781436	-660.254	0.0407312	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40
GI_13236584-S	4.93e-01	4.35e-01	-0.780784	-660.305	-0.0347623	FSD1	fibronectin type III and SPRY domain containing 1
GI_40254935-S	4.94e-01	4.36e-01	-0.779037	-66.044	-0.0891082	TMIGD3	transmembrane and immunoglobulin domain containing 3
GI_42662415-S	4.94e-01	4.37e-01	0.777982	-660.521	0.0496961		
GI_20143974-S	4.95e-01	4.37e-01	-0.777632	-660.548	-0.0567984	ABCG4	ATP binding cassette subfamily G member 4
GI_4759263-S	4.96e-01	4.38e-01	-0.775931	-660.679	-0.0686463	COPS2	COP9 signalosome subunit 2
GI_40254985-S	4.96e-01	4.39e-01	-0.775223	-660.733	-0.0535907	HSDL2	hydroxysteroid dehydrogenase like 2
GI_31543622-S	4.97e-01	4.39e-01	0.774531	-660.787	0.0454926	SIL1	SIL1 nucleotide exchange factor
GI_34147336-S	4.97e-01	4.39e-01	0.77411	-660.819	0.0387163	ZNF337	zinc finger protein 337
GI_38148698-S	4.97e-01	4.39e-01	0.774097	-66.082	0.0268419	EXOC3	exocyst complex component 3
GI_38261961-S	4.97e-01	4.40e-01	0.773529	-660.863	0.0366494	ATF7IP	activating transcription factor 7 interacting protein
GI_4507012-S	4.98e-01	4.40e-01	0.772229	-660.963	0.0721031	SLC2A5	solute carrier family 2 member 5
GI_14149729-S	4.98e-01	4.40e-01	-0.772211	-660.964	-0.0469565	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
GI_37693523-S	4.98e-01	4.41e-01	0.771861	-660.991	0.0623153	ZEB2	zinc finger E-box binding homeobox 2
GI_34147483-S	4.98e-01	4.41e-01	0.771588	-661.012	0.0328835	DIS3L	DIS3 like exosome 3'-5' exoribonuclease
GI_29745993-S	4.98e-01	4.41e-01	-0.771537	-661.016	-0.0473354	ENDOD1	endonuclease domain containing 1
GI_37546337-S	4.99e-01	4.42e-01	-0.769881	-661.142	-0.0332771		
GI_34147516-S	4.99e-01	4.42e-01	-0.769564	-661.167	-0.0656087	CSNK1A1	casein kinase 1 alpha 1
GI_20336210-I	4.99e-01	4.42e-01	0.769258	-66.119	0.0426105	GAMT	guanidinoacetate N-methyltransferase
GI_20070355-S	5.02e-01	4.44e-01	0.765598	-661.468	0.0224967	NUMB	NUMB, endocytic adaptor protein
GI_4502078-S	5.02e-01	4.45e-01	-0.765301	-661.491	-0.0526128	AMPD3	adenosine monophosphate deaminase 3
GI_38201613-A	5.03e-01	4.45e-01	0.764166	-661.577	0.0315668	MLX	MLX, MAX dimerization protein
GI_6912539-S	5.04e-01	4.46e-01	0.762629	-661.693	0.0437014	NUBP2	nucleotide binding protein 2
GI_12545388-S	5.04e-01	4.47e-01	-0.761477	-66.178	-0.035972	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
GI_38202245-S	5.04e-01	4.47e-01	-0.761203	-661.801	-0.0562142	SNPH	syntaphilin
GI_34147413-S	5.04e-01	4.47e-01	0.761185	-661.802	0.0316303	NOA1	nitric oxide associated 1
GI_9506786-S	5.04e-01	4.47e-01	-0.760886	-661.825	-0.0408049	NLGN3	neuroligin 3
GI_23397535-S	5.06e-01	4.49e-01	-0.757978	-662.044	-0.0520002	SLC29A4	solute carrier family 29 member 4
GI_38569474-S	5.07e-01	4.50e-01	0.756839	-662.129	0.0364682	MTX1	metaxin 1
GI_33589813-S	5.07e-01	4.50e-01	0.756784	-662.133	0.0319213	ZER1	zyg-11 related cell cycle regulator
GI_38373686-S	5.07e-01	4.50e-01	0.756379	-662.164	0.0503002	AP1G1	adaptor related protein complex 1 gamma 1 subunit
GI_24234684-I	5.07e-01	4.50e-01	-0.756082	-662.186	-0.0521361	HSPA8	heat shock protein family A (Hsp70) member 8
GI_7661599-S	5.08e-01	4.51e-01	-0.754283	-662.321	-0.0351689		
GI_31343495-S	5.10e-01	4.53e-01	-0.751983	-662.493	-0.0326524	PPP1R21	protein phosphatase 1 regulatory subunit 21
GI_21071002-A	5.10e-01	4.53e-01	0.7513	-662.543	0.0238088		
GI_22779933-S	5.10e-01	4.53e-01	-0.751288	-662.544	-0.0314381	WDR19	WD repeat domain 19
GI_37540494-S	5.11e-01	4.53e-01	0.750687	-662.589	0.0311665		
GI_30911100-S	5.11e-01	4.54e-01	-0.750045	-662.637	-0.0624809	SWAP70	SWAP switching B-cell complex 70kDa subunit
GI_20631976-S	5.13e-01	4.55e-01	0.747605	-662.818	0.0493943	ATF6B	activating transcription factor 6 beta
GI_34222384-S	5.13e-01	4.56e-01	0.746949	-662.867	0.0429577	LRRN1	leucine rich repeat neuronal 1
GI_41281407-S	5.14e-01	4.57e-01	-0.745169	-662.998	-0.0341183	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component
GI_4557342-S	5.14e-01	4.57e-01	-0.745087	-663.004	-0.0523083	ALDH7A1	aldehyde dehydrogenase 7 family member A1
GI_24415382-S	5.14e-01	4.57e-01	0.744632	-663.038	0.0291203	PELP1	proline, glutamate and leucine rich protein 1
GI_38679925-S	5.14e-01	4.57e-01	0.744626	-663.038	0.0884702	CERCAM	cerebral endothelial cell adhesion molecule
GI_39995081-S	5.15e-01	4.58e-01	0.7436	-663.114	0.0275333	NSUN2	NOP2/Sun RNA methyltransferase family member 2
GI_8659554-S	5.16e-01	4.59e-01	-0.741731	-663.252	-0.0202395	ACO1	aconitase 1
GI_4758119-S	5.16e-01	4.59e-01	-0.741188	-663.291	-0.0459055	DAP	death associated protein
GI_18450370-A	5.17e-01	4.59e-01	0.740791	-663.321	0.0334852	PTPRA	protein tyrosine phosphatase, receptor type A
GI_11545792-S	5.17e-01	4.60e-01	0.739915	-663.385	0.0355134	GPATCH3	G-patch domain containing 3
GI_5031714-S	5.17e-01	4.60e-01	-0.73969	-663.401	-0.0299874	GIPC1	GIPC PDZ domain containing family member 1
GI_21626463-S	5.18e-01	4.61e-01	-0.738152	-663.514	-0.0271661	ARCN1	archain 1
GI_6912245-S	5.19e-01	4.62e-01	0.736552	-663.631	0.0326786	CD3EAP	CD3e molecule associated protein
GI_37675281-S	5.19e-01	4.62e-01	-0.736511	-663.634	-0.0323677	DECR2	2,4-dienoyl-CoA reductase 2, peroxisomal
GI_18087834-S	5.20e-01	4.62e-01	0.735886	-66.368	0.0545299	ERI2	ERI1 exoribonuclease family member 2
GI_38502322-S	5.20e-01	4.63e-01	-0.735459	-663.711	-0.0513051	FAM120AOS	family with sequence similarity 120A opposite strand
GI_37574613-A	5.20e-01	4.63e-01	-0.734913	-663.751	-0.0420102	NME7	NME/NM23 family member 7
GI_33946332-I	5.22e-01	4.64e-01	0.732527	-663.924	0.0480298	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
GI_37537705-I	5.22e-01	4.64e-01	-0.732229	-663.946	-0.0728041	LARP6	La ribonucleoprotein domain family member 6
GI_34147566-S	5.22e-01	4.65e-01	-0.732225	-663.946	-0.0421616	GUK1	guanylate kinase 1
GI_7661563-S	5.22e-01	4.65e-01	-0.731812	-663.976	-0.0408325		
GI_5031770-S	5.22e-01	4.65e-01	0.731018	-664.034	0.0482195	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4
GI_42660142-S	5.23e-01	4.66e-01	-0.730226	-664.091	-0.0625241		
GI_37545060-S	5.24e-01	4.67e-01	0.728528	-664.214	0.093897		
GI_6382070-A	5.24e-01	4.67e-01	0.728197	-664.238	0.0684012	DIAPH2	diaphanous related formin 2
GI_6912395-S	5.25e-01	4.68e-01	-0.726772	-664.341	-0.025162	GRHPR	glyoxylate and hydroxypyruvate reductase
GI_38679891-S	5.25e-01	4.68e-01	0.726168	-664.384	0.0338155	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
GI_4503954-S	5.28e-01	4.70e-01	0.722495	-664.648	0.0324463	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1
GI_41349477-S	5.28e-01	4.71e-01	0.721534	-664.717	0.0278876		
GI_7662035-S	5.29e-01	4.71e-01	0.720981	-664.756	0.0283308	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
GI_40806183-S	5.29e-01	4.71e-01	-0.720972	-664.757	-0.0572995	FASTKD5	FAST kinase domains 5
GI_40788019-S	5.29e-01	4.72e-01	-0.720542	-664.787	-0.0249815	C1orf21	chromosome 1 open reading frame 21
GI_29540565-A	5.29e-01	4.72e-01	-0.720218	-664.811	-0.0476603	ARMCX3	armadillo repeat containing, X-linked 3
GI_18201877-S	5.29e-01	4.72e-01	0.72019	-664.813	0.0428851	FAM210B	family with sequence similarity 210 member B
GI_42542378-S	5.29e-01	4.72e-01	-0.719641	-664.852	-0.0260156	SRRM1	serine and arginine repetitive matrix 1
GI_14195610-S	5.31e-01	4.73e-01	-0.717709	-664.989	-0.0476273	PCDHB4	protocadherin beta 4
GI_16159362-S	5.32e-01	4.74e-01	-0.715928	-665.116	-0.0545908	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
GI_29171731-S	5.32e-01	4.75e-01	-0.715903	-665.118	-0.0903127	CPXM1	carboxypeptidase X, M14 family member 1
GI_22027476-A	5.32e-01	4.75e-01	0.715747	-665.129	0.0338235	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
GI_42657218-S	5.34e-01	4.77e-01	-0.712062	-66.539	-0.0320953		
GI_8923564-S	5.34e-01	4.77e-01	-0.712044	-665.391	-0.0261848	AURKAIP1	aurora kinase A interacting protein 1
GI_18765755-A	5.34e-01	4.77e-01	-0.711724	-665.414	-0.0424837	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
GI_40806158-I	5.36e-01	4.79e-01	-0.709419	-665.576	-0.0262089	THRA	thyroid hormone receptor, alpha
GI_34147604-S	5.36e-01	4.79e-01	0.70873	-665.624	0.0267387	OPTN	optineurin
GI_8923891-S	5.36e-01	4.79e-01	0.708204	-665.661	0.0387134	PXMP2	peroxisomal membrane protein 2
GI_37693524-A	5.38e-01	4.81e-01	-0.706068	-665.811	-0.028421	ZNF189	zinc finger protein 189
GI_12232392-S	5.39e-01	4.81e-01	-0.704923	-665.891	-0.0458133	MFSD1	major facilitator superfamily domain containing 1
GI_39812204-S	5.39e-01	4.82e-01	0.704321	-665.933	0.0236682	SIK3	SIK family kinase 3
GI_37550031-S	5.39e-01	4.82e-01	-0.704231	-66.594	-0.0532266	CLASP2	cytoplasmic linker associated protein 2
GI_17978499-A	5.39e-01	4.82e-01	0.70415	-665.945	0.042382	CNOT7	CCR4-NOT transcription complex subunit 7
GI_37545351-S	5.39e-01	4.82e-01	0.703839	-665.967	0.0402945		
GI_37622350-S	5.40e-01	4.82e-01	0.70313	-666.016	0.0321558	NUDT3	nudix hydrolase 3
GI_7656842-A	5.40e-01	4.83e-01	-0.70268	-666.048	-0.0258838	GPR162	G protein-coupled receptor 162
GI_19913404-S	5.40e-01	4.83e-01	0.702166	-666.083	0.038936	TOP1	topoisomerase (DNA) I
GI_4758719-S	5.41e-01	4.84e-01	0.701261	-666.146	0.0240715	MLLT3	MLLT3, super elongation complex subunit
GI_23238212-S	5.41e-01	4.84e-01	-0.701212	-66.615	-0.0478776	ARPC5	actin related protein 2/3 complex subunit 5
GI_21359961-S	5.41e-01	4.84e-01	-0.700249	-666.217	-0.0284151	C6orf62	chromosome 6 open reading frame 62
GI_37549338-S	5.41e-01	4.84e-01	0.699926	-666.239	0.0579875	MYO1B	myosin IB
GI_22748750-S	5.42e-01	4.85e-01	0.698238	-666.356	0.0262729	SLC43A2	solute carrier family 43 member 2
GI_40548365-S	5.43e-01	4.86e-01	0.697995	-666.373	0.0366919	ZNF322	zinc finger protein 322
GI_31083366-S	5.43e-01	4.86e-01	-0.696683	-666.464	-0.0283982	EXOC4	exocyst complex component 4
GI_39930468-S	5.46e-01	4.89e-01	0.693227	-666.702	0.0905499	RPF2	ribosome production factor 2 homolog
GI_24307874-S	5.47e-01	4.89e-01	-0.691971	-666.788	-0.0352295	ZNF33B	zinc finger protein 33B
GI_40254443-S	5.47e-01	4.90e-01	-0.69094	-666.859	-0.031119	SIAH1	siah E3 ubiquitin protein ligase 1
GI_14574565-A	5.47e-01	4.90e-01	0.690432	-666.894	0.0687738	AIF1	allograft inflammatory factor 1
GI_25777607-I	5.48e-01	4.91e-01	-0.689565	-666.953	-0.0450066	NLRX1	NLR family member X1
GI_4809272-S	5.49e-01	4.92e-01	0.687404	-6.671	0.0569643	ANXA4	annexin A4
GI_29745308-S	5.50e-01	4.93e-01	-0.686366	-667.171	-0.0252299	USP35	ubiquitin specific peptidase 35
GI_16554567-A	5.50e-01	4.93e-01	-0.686301	-667.176	-0.058024		
GI_38327530-A	5.50e-01	4.93e-01	0.685961	-667.199	0.0474503	INSIG1	insulin induced gene 1
GI_14110406-A	5.51e-01	4.94e-01	0.684509	-667.297	0.0303108	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like
GI_42656398-S	5.53e-01	4.96e-01	0.681215	-66.752	0.0559901		
GI_27883865-S	5.54e-01	4.96e-01	-0.680985	-667.536	-0.037111	RIC8A	RIC8 guanine nucleotide exchange factor A
GI_9951921-S	5.55e-01	4.98e-01	-0.678448	-667.707	-0.0367313	CIB1	calcium and integrin binding 1
GI_21361502-S	5.58e-01	5.00e-01	0.674983	-667.939	0.0296221	SLC35B3	solute carrier family 35 member B3
